date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2021/4/6,0.67,2,2,4,3,36.7,8.5,19.2,6.7,14
2021/4/7,0.75,2,2,4,3,36.2,19.4,19.53,7,2
2021/4/8,0.81,2,2,4,3,37.1,15.8,20.2,6.1,4
2021/4/9,0.83,2,2,4,3,42.4,8.5,20.91,7,2
2021/4/10,0.82,2,2,4,3,49,8.5,21.38,7.6,0
2021/4/11,0.8,2,2,4,3,42.7,7.5,21.98,6.8,0
2021/4/12,0.77,2,2,4,3,38.4,6.3,22.15,7.1,6
2021/4/13,0.77,2,2,4,3,41,6.4,23.31,7.6,3
2021/4/14,0.74,2,2,4,3,45.4,10.2,23.31,7.7,4
2021/4/15,0.77,2,2,4,3,49.7,9.2,24.16,7.7,4
2021/4/16,0.76,2,2,4,3,48.5,7.7,24.95,7.6,2
2021/4/17,0.74,2,2,4,3,47,7.4,24.95,7.4,0
2021/4/18,0.73,2,2,4,3,45,7.8,25.97,7.7,0
2021/4/19,0.76,2,2,4,3,43.6,6.5,26.04,7.3,4
2021/4/20,0.77,2,2,4,3,41.6,6.9,26.52,6,2
2021/4/21,0.84,2,2,4,3,34.7,4.4,28.31,6,6
2021/4/22,0.82,2,2,4,3,35.4,6.4,28.31,6.8,3
2021/4/23,0.82,2,2,4,3,37.1,10.5,29.44,7.2,1
2021/4/24,0.8,2,2,4,3,37.6,8.1,29.44,6,0
2021/4/25,0.77,2,2,4,3,37.7,7.4,30.33,6.9,0
2021/4/26,0.76,2,2,4,3,36.8,5.9,30.33,7.5,3
2021/4/27,0.77,2,2,4,3,37.6,5.4,30.71,7,2
2021/4/28,0.81,2,2,4,3,39.1,6.3,31.67,8,3
2021/4/29,0.84,2,2,4,3,40,7.7,31.67,7.7,2
2021/4/30,0.84,2,2,4,3,38.8,5.6,33,7.7,1
2021/5/1,0.81,2,2,4,3,42.4,9,33.54,7.6,0
2021/5/2,0.8,2,2,4,3,43.4,8.2,33.58,7.7,0
2021/5/3,0.83,2,2,4,3,37.9,10.9,33.65,7.4,1
2021/5/4,0.89,2,2,4,3,41.9,5.8,34.14,6.2,1
2021/5/5,0.95,2,2,4,3,39.2,6.8,35.88,7.8,2
2021/5/6,1,2,2,4,3,40.9,7.4,35.88,7.6,1
2021/5/7,0.99,2,2,4,3,44.2,9.3,38.01,7.6,3
2021/5/8,0.93,2,2,4,3,52.6,8,38.83,6.4,0
2021/5/9,0.88,2,2,4,3,63.8,8.1,38.83,6.7,0
2021/5/10,0.87,2,2,4,3,64.4,7.8,38.85,7.2,0
2021/5/11,0.89,2,2,4,3,64.1,7,40.61,6.8,5
2021/5/12,0.92,2,2,4,3,57.1,7.2,40.61,6.7,3
2021/5/13,0.96,2,2,4,3,59.4,6.6,41.07,7.2,0
2021/5/14,0.96,2,2,4,3,56.9,6.9,42.72,7.5,1
2021/5/15,0.94,2,2,4,3,55.6,8.3,43.02,6.7,0
2021/5/16,0.93,2,2,4,3,53.7,6.1,43.02,6.3,0
2021/5/17,0.94,2,2,4,3,55.1,7,43.7,5.3,2
2021/5/18,0.99,2,2,4,3,53.5,7.4,43.7,5.9,4
2021/5/19,1.03,2,2,4,3,49.6,12,44.49,6.7,0
2021/5/20,1.04,2,2,4,3,52.5,10.8,45.66,7.3,0
2021/5/21,1,2,2,4,3,52.6,5.1,47.5,5.3,3
2021/5/22,0.93,2,2,4,3,53.8,7.8,47.98,7.3,0
2021/5/23,0.86,2,2,4,3,52.5,8.4,48.08,7.7,0
2021/5/24,0.81,2,2,4,3,48.6,14.1,48.08,7.1,7
2021/5/25,0.81,2,2,4,3,50.2,7.4,49.68,7.2,3
2021/5/26,0.78,2,2,4,3,51.7,7.3,50.66,5,4
2021/5/27,0.79,2,2,4,3,51.4,7.8,50.66,7.6,0
2021/5/28,0.77,2,2,4,3,52.8,6.2,52.56,7.6,2
2021/5/29,0.76,2,2,4,3,53.5,7.4,52.98,7.6,0
2021/5/30,0.75,2,2,4,3,55.5,6.2,52.98,7,0
2021/5/31,0.79,2,2,4,3,61.6,4.6,53.04,7.1,8
2021/6/1,0.82,2,2,4,3,61.9,5.5,53.65,7.2,0
2021/6/2,0.87,2,1,4,3,63.4,4.9,54.71,7.1,3
2021/6/3,0.86,2,1,4,3,65,4,56.91,6.7,0
2021/6/4,0.84,2,1,4,3,65.8,6,58.07,8.1,0
2021/6/5,0.8,2,1,4,3,65.6,4.5,58.07,7.2,0
2021/6/6,0.78,2,1,4,3,63.3,5.4,58.4,6.2,0
2021/6/7,0.78,2,1,4,3,63.4,4.6,58.51,7.2,0
2021/6/8,0.78,2,1,4,3,64,4.1,59.34,7.1,0
2021/6/9,0.8,2,1,4,3,65.8,5.9,60.04,7.2,0
2021/6/10,0.8,2,1,4,3,63.1,8.2,60.97,7.1,5
2021/6/11,0.77,2,1,4,3,58.7,9.3,61.67,6.3,0
2021/6/12,0.74,2,1,4,3,61,13.4,62.97,7.7,0
2021/6/13,0.72,2,1,4,3,61.1,12,64.1,7.1,0
2021/6/14,0.73,2,1,4,3,60.9,8.2,64.42,7.4,0
2021/6/15,0.75,2,1,4,3,62.9,7.8,64.49,7.5,0
2021/6/16,0.78,2,1,4,3,69.1,9.7,65.67,6.8,3
2021/6/17,0.83,2,1,4,3,73.1,8.3,66.83,7.3,0
2021/6/18,0.84,2,1,4,3,75.9,8.4,69.71,6.9,0
2021/6/19,0.86,2,1,4,3,79,8.9,70.6,7.1,0
2021/6/20,0.87,2,1,4,3,79.2,7.5,70.81,6.9,0
2021/6/21,0.91,2,1,4,3,72.4,5.2,71.2,6.6,0
2021/6/22,0.91,2,1,4,3,68.5,3.7,71.2,5,0
2021/6/23,0.98,2,1,4,3,69.8,4.1,72.3,6.4,2
2021/6/24,1.03,2,1,4,3,71.2,6.4,72.3,6.4,0
2021/6/25,1.07,2,1,4,3,68.7,6.3,75.71,6.8,0
2021/6/26,1.12,2,1,4,3,67.7,7.5,75.71,7.6,0
2021/6/27,1.23,2,1,4,3,68.5,7.1,75.71,7.6,0
2021/6/28,1.33,2,1,4,3,68.7,6.1,75.94,7.3,0
2021/6/29,1.43,2,1,4,3,70.5,8.3,75.94,7.4,0
2021/6/30,1.43,2,1,4,3,67.6,5.9,77.91,7.2,0
2021/7/1,1.38,1,1,4,3,69.4,5.1,77.91,7.2,4
2021/7/2,1.28,1,1,4,3,70.5,7.3,80.44,7.3,0
2021/7/3,1.16,1,1,4,3,73.6,7.6,81.32,7.2,0
2021/7/4,1.09,1,1,4,3,73.4,6.9,81.57,7.1,0
2021/7/5,1.12,1,1,4,3,74,6.2,81.57,7,0
2021/7/6,1.2,1,1,4,3,70.8,6,81.81,7,0
2021/7/7,1.29,1,1,4,3,70,4.1,82.71,7.4,3
2021/7/8,1.33,1,1,4,3,79.1,7.3,83.55,7.5,0
2021/7/9,1.28,1,1,4,3,73.2,9.6,84.99,7,0
2021/7/10,1.21,1,1,4,3,71.4,5.8,85.92,6.8,0
2021/7/11,1.17,1,1,4,3,74.7,4.2,87.02,7.4,0
2021/7/12,1.17,1,1,4,3,77.7,4,87.3,6.9,0
2021/7/13,1.23,1,1,4,3,78.9,6,88.28,6.7,0
2021/7/14,1.31,1,1,4,3,73.8,7.2,89.25,6.7,2
2021/7/15,1.33,1,1,4,3,69.7,6.1,90.29,7.1,0
2021/7/16,1.28,1,1,4,3,69.6,11.1,90.29,7,0
2021/7/17,1.21,1,1,4,3,62.3,9.9,91.31,7.7,1
2021/7/18,1.17,1,1,4,3,60.6,7.7,91.94,7.5,0
2021/7/19,1.19,1,1,4,3,59.9,9,92.3,7.6,0
2021/7/20,1.24,1,1,4,3,64.1,12.1,93.03,7.7,1
2021/7/21,1.32,1,1,4,3,61.6,8.5,93.87,7.1,0
2021/7/22,1.36,1,1,4,3,63,6.7,95.23,7.7,2
2021/7/23,1.32,1,1,4,3,68.7,6.4,95.23,7.3,1
2021/7/24,1.28,1,1,4,3,72.1,5,96.3,6.9,1
2021/7/25,1.26,1,1,4,3,74.8,7.4,97.01,7.1,0
2021/7/26,1.32,1,1,4,3,68.1,8.5,97.07,7,1
2021/7/27,1.4,1,1,4,3,70.3,13.4,97.31,6.4,1
2021/7/28,1.48,1,1,4,3,61.9,11.2,98.09,7.3,0
2021/7/29,1.5,1,1,4,3,63.9,8.6,99.05,6.8,0
2021/7/30,1.42,1,1,4,3,64.1,9.7,101.2,6.5,2
2021/7/31,1.3,1,1,4,2,64.6,7.4,101.2,7,0
2021/8/1,1.21,1,1,4,2,58,9.4,101.9,6.8,1
2021/8/2,1.17,1,1,4,2,57.3,7,102.02,7.7,1
2021/8/3,1.19,1,1,4,2,57.9,3.6,103.08,7.6,0
2021/8/4,1.15,1,1,4,2,63.5,8,103.08,7.5,0
2021/8/5,1.21,1,1,4,2,60.7,12,103.84,6.6,1
2021/8/6,1.18,1,1,4,2,64.8,6.5,105.09,4.9,1
2021/8/7,1.14,1,1,4,2,63.7,7.6,105.99,6.1,0
2021/8/8,1.14,1,1,4,2,63.7,8.4,106.6,6.7,5
2021/8/9,1.18,1,1,4,2,62.7,3.7,106.76,7.1,0
2021/8/10,1.23,1,1,4,2,62.2,3.6,107.67,6.6,2
2021/8/11,1.27,1,1,4,2,64.5,7.2,109.04,6.6,2
2021/8/12,1.18,1,1,4,2,64.3,12.1,109.04,6.7,2
2021/8/13,1.11,1,1,4,2,58.6,12.1,110.23,6.1,1
2021/8/14,0.99,1,1,4,2,61.1,8.3,111.37,7.3,4
2021/8/15,0.88,1,1,4,2,63,8.9,112.12,6.4,1
2021/8/16,0.84,1,1,4,2,58.9,16.5,112.32,6.8,0
2021/8/17,0.87,1,1,4,2,58.2,12.9,112.6,6.3,3
2021/8/18,0.94,1,1,4,2,59.6,9.6,113.54,7.6,2
2021/8/19,0.98,1,1,4,2,57.2,5.5,114.53,6.3,2
2021/8/20,0.95,1,1,4,2,56.7,9.7,115.6,7.8,2
2021/8/21,0.88,1,1,4,2,52.4,12,116.63,7.8,1
2021/8/22,0.82,1,1,4,2,52.3,9.2,117.45,7.8,1
2021/8/23,0.8,1,1,4,2,53.4,15.7,117.69,6.4,0
2021/8/24,0.83,1,1,4,2,55.9,12.3,117.94,5.3,0
2021/8/25,0.89,1,1,4,2,55.7,11.1,118.77,6.2,4
2021/8/26,0.94,1,1,4,2,60.8,8.1,119.69,7.1,0
2021/8/27,0.96,1,1,4,2,59.8,7.1,121.57,6.8,1
2021/8/28,0.95,1,1,4,2,57.8,6.3,122.14,7.1,3
2021/8/29,0.96,1,1,4,2,57.2,5.5,122.32,7.1,2
2021/8/30,0.98,1,1,4,2,51.7,10.2,122.32,7.6,0
2021/8/31,1,1,1,4,2,50.9,10.4,123.05,7.7,5
2021/9/1,0.95,1,1,4,2,48.2,12.7,123.74,7.2,1
2021/9/2,0.94,1,1,4,2,46.5,9.2,124.92,7.9,1
