date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/9/8,0.95,1,1,0,3,88.6,11.2,0,6.2,21
2020/9/9,1.21,1,1,0,3,87.8,10,0,6.2,14
2020/9/10,1.31,1,1,0,3,85.2,9.5,0,6.2,4
2020/9/11,1.16,1,1,0,3,87.2,7.6,0,6.2,12
2020/9/12,0.91,1,1,0,3,76.4,8.3,0,4.5,13
2020/9/13,0.74,1,1,0,3,77.4,5.1,0,6.2,7
2020/9/14,0.68,1,1,0,3,77.2,6.8,0,6,7
2020/9/15,0.82,1,1,0,3,79.8,5.9,0,6.2,8
2020/9/16,1.02,1,1,0,3,79,4.3,0,6.2,18
2020/9/17,1.17,1,1,0,3,80.6,6.6,0,6.2,9
2020/9/18,1.13,1,1,0,3,87.8,11.9,0,6.2,10
2020/9/19,0.87,1,1,0,3,78.6,8.5,0,6.2,4
2020/9/20,0.59,1,1,0,3,74.4,4.8,0,6.2,4
2020/9/21,0.47,1,1,0,3,75,6.2,0,6.2,10
2020/9/22,0.51,1,1,0,3,76.8,9.5,0,6.2,1
2020/9/23,0.84,1,1,0,3,71,6.8,0,5.7,6
2020/9/24,1.23,1,1,0,1,68.4,7.6,0,3.1,15
2020/9/25,1.37,1,1,0,1,68.2,8.5,0,2.8,4
2020/9/26,1.35,1,1,0,1,67,5.1,0,4,3
2020/9/27,1.23,1,1,0,1,71.6,4.1,0,6.2,2
2020/9/28,1.13,1,1,0,1,77.2,6.1,0,6.2,12
2020/9/29,1.12,1,1,0,1,70.6,10.3,0,6.2,7
2020/9/30,1.19,1,1,0,1,72.4,6.7,0,6.2,7
2020/10/1,1.18,1,1,0,1,69.8,4.4,0,6.2,5
2020/10/2,1.01,1,1,0,1,74,5.4,0,6.2,11
2020/10/3,0.8,1,1,0,1,74,3.3,0,6.1,3
2020/10/4,0.68,1,1,0,1,74.2,3.4,0,5.7,4
2020/10/5,0.76,1,1,0,1,73.2,4,0,4.1,4
2020/10/6,1.01,1,1,0,1,73,7,0,6.2,7
2020/10/7,1.28,1,1,0,1,69,10.8,0,6.2,5
2020/10/8,1.37,1,1,0,1,59.6,8.2,0,3.7,3
2020/10/9,1.21,1,1,0,1,59.8,7,0,3.5,6
2020/10/10,0.96,1,1,0,1,62.8,7.6,0,3.7,3
2020/10/11,0.77,1,1,0,1,71.6,7.5,0,5.9,2
2020/10/12,0.78,1,1,0,1,75,5.2,0,6.2,3
2020/10/13,1,1,1,0,3,75.8,9.3,0,6.2,4
2020/10/14,1.23,1,1,0,3,70.4,7.2,0,6.1,11
2020/10/15,1.33,1,1,0,3,61.6,9.1,0,5.1,4
2020/10/16,1.18,1,1,0,3,61.8,9.6,0,5.9,14
2020/10/17,0.9,1,1,0,3,54.6,6,0,4.1,6
2020/10/18,0.74,1,1,0,3,62.8,5.2,0,6.2,2
2020/10/19,0.74,1,1,0,3,60.6,5.6,0,6.1,4
2020/10/20,1,1,1,0,3,66,7.9,0,6.2,3
2020/10/21,1.31,1,1,0,3,66.8,7.9,0,6.2,7
2020/10/22,1.42,1,1,0,3,67.8,5,0,5.9,11
2020/10/23,1.31,1,1,0,3,63.6,5.7,0,3.9,9
2020/10/24,1.1,1,1,0,3,66.6,5.3,0,6.2,4
2020/10/25,0.96,1,1,0,3,66.2,6.3,0,6.2,6
2020/10/26,1,1,1,0,3,66.4,3.8,0,6.2,5
2020/10/27,1.16,1,1,0,3,66.6,7.4,0,6.2,5
2020/10/28,1.37,1,1,0,3,65,3,0,6.2,5
2020/10/29,1.42,1,1,0,3,68.8,6.2,0,6.2,17
2020/10/30,1.25,1,1,0,3,62.2,6.9,0,6.2,8
2020/10/31,1.08,1,1,0,3,62.4,7.3,0,6.2,13
2020/11/1,0.91,1,1,0,3,61.8,3.2,0,6.2,7
2020/11/2,0.98,1,1,0,3,65.2,4.8,0,5.5,11
2020/11/3,1.23,1,1,0,3,60.4,5.1,0,5.4,7
2020/11/4,1.54,1,1,0,3,61.6,5.5,0,6.2,5
