date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2020/7/4,1.26,3,2,4,4,90.5,7.9,0,1.9,613
2020/7/5,1.18,3,2,4,4,84.4,4.8,0,2.3,425
2020/7/6,1.13,3,2,4,4,88.1,5.9,0,1.6,466
2020/7/7,1.13,3,2,4,4,85,9.1,0,1.8,483
2020/7/8,1.19,3,2,4,4,86,4.6,0,1.6,487
2020/7/9,1.25,3,2,4,4,90.4,3.9,0,2.4,475
2020/7/10,1.27,3,2,4,4,91.5,6.7,0,2.6,519
2020/7/11,1.23,3,2,4,4,89.7,4.7,0,2.3,550
2020/7/12,1.21,3,2,4,4,85.5,5.8,0,2,501
2020/7/13,1.23,3,2,4,4,89.5,3.9,0,2.2,553
2020/7/14,1.27,3,2,4,4,93,4.7,0,2.2,582
2020/7/15,1.32,3,2,4,4,90.4,6.8,0,1.9,605
2020/7/16,1.37,3,2,4,4,89.7,6.3,0,1.9,688
2020/7/17,1.34,3,2,4,4,89.8,6.6,0,1.5,671
2020/7/18,1.27,3,2,4,4,89.5,5.7,0,1.7,543
2020/7/19,1.24,3,2,4,4,85.6,4.7,0,1.9,681
2020/7/20,1.26,3,2,4,4,82.6,5.3,0,2,585
2020/7/21,1.31,3,2,4,4,79.7,5.2,0,1.5,650
2020/7/22,1.34,3,2,4,4,79,3.1,0,1.6,1129
2020/7/23,1.33,3,2,4,4,85.5,3.1,0,1.9,740
2020/7/24,1.24,3,2,4,4,85,4.2,0,1.8,757
2020/7/25,1.16,3,2,4,4,86.1,4.1,0,1.5,702
2020/7/26,1.06,3,2,4,4,89,2.3,0,1.9,711
2020/7/27,1.05,3,2,4,4,89.4,5.7,0,2.3,637
2020/7/28,1.16,3,2,4,4,91.1,4.8,0,2.4,785
2020/7/29,1.2,3,2,4,4,84.1,4.7,0,2.2,762
2020/7/30,1.2,3,2,4,4,83.3,3.3,0,2.2,763
2020/7/31,1.15,3,2,4,4,86.9,3.3,0,1.5,793
2020/8/1,1.04,3,2,4,4,84.6,7.2,0,1.1,853
2020/8/2,0.99,3,2,4,4,87.8,3.7,0,1.8,771
2020/8/3,1.02,3,2,4,4,89.2,5.4,0,1.9,803
2020/8/4,1.07,3,2,4,4,89.9,2.9,0,1.5,857
2020/8/5,1.2,3,2,4,4,87.1,2.9,0,1.3,904
2020/8/6,1.24,3,2,4,4,89.6,10,0,2.4,886
2020/8/7,1.16,3,2,4,4,87.6,6.3,0,2.1,933
2020/8/8,1.08,3,2,4,4,89.1,2.7,0,1.9,861
2020/8/9,1.03,3,2,4,4,85.4,2.7,0,1.9,1007
