date,R_t-estimate,school_closing,cancel_public_events,restrictions_on_gatherings,internationaltravel,temperature,windspeed,full_vaccination,visible,new_deaths
2021/1/21,0.86,1,1,3,3,44.7,14.5,2.78,6,0
2021/1/22,0.79,1,1,3,3,38.1,7.3,2.86,5.1,0
2021/1/23,0.79,1,1,3,3,35.5,7.5,2.94,4.1,0
2021/1/24,0.86,1,1,3,3,31.5,10.4,3.14,5.3,0
2021/1/25,0.97,1,1,3,3,31.6,7.2,3.37,3.9,4
2021/1/26,1.06,1,1,3,3,31.7,11.2,3.37,6,4
2021/1/27,1.07,1,1,3,3,32.2,7.4,3.37,1.6,1
2021/1/28,0.99,1,1,3,3,43.6,11.6,3.61,2.6,3
2021/1/29,0.92,1,1,3,3,45.7,15.3,3.78,5.1,3
2021/1/30,0.92,1,1,3,3,39.2,9.8,4.08,4.4,0
2021/1/31,0.98,1,1,3,3,32.3,8.8,4.27,3.9,0
2021/2/1,1.09,1,1,3,3,39.3,5.8,4.56,2.4,7
2021/2/2,1.17,1,1,3,3,44.5,9.9,4.56,4.6,2
2021/2/3,1.17,1,1,3,3,48.1,13.9,4.56,5.5,1
2021/2/4,1.07,1,1,3,3,43,6.6,4.88,6.7,1
2021/2/5,0.97,1,1,3,3,44,4.5,5.03,4.5,2
2021/2/6,0.94,1,1,3,3,41.3,8.9,5.26,2.8,0
2021/2/7,0.98,1,1,3,3,38,7.2,5.48,4.1,0
2021/2/8,1.04,2,1,3,3,29,4.8,5.68,2.5,7
2021/2/9,1.09,2,1,3,3,22.8,9,5.68,2.8,3
2021/2/10,1.08,2,1,3,3,17,13.8,5.68,6.6,2
2021/2/11,0.98,2,1,3,3,24,10.1,5.95,6.2,2
2021/2/12,0.9,2,1,3,3,27.3,8.7,6.16,6.7,2
2021/2/13,0.89,2,1,3,3,34.7,8.2,6.37,5.8,0
2021/2/14,0.97,2,1,3,3,42.5,8.2,6.63,5.6,0
2021/2/15,1.09,2,1,3,3,43.7,8.6,6.96,5.9,5
2021/2/16,1.2,2,1,3,3,42.3,8.2,6.96,6.4,1
2021/2/17,1.21,2,1,3,3,39.3,5.8,6.96,3.6,4
2021/2/18,1.11,2,1,3,3,52.9,8,7.36,16.6,3
2021/2/19,1.01,2,1,3,3,52,6.7,7.48,16,3
2021/2/20,0.98,2,1,3,3,48.4,5,7.71,7.3,0
2021/2/21,1.02,2,1,3,3,54.5,7.8,8.11,6.7,0
2021/2/22,1.11,2,1,3,3,52.2,5.5,8.64,6.3,6
2021/2/23,1.2,2,1,3,3,51.6,5.5,8.64,6.3,1
2021/2/24,1.2,2,1,3,3,42.9,8.3,8.64,5.9,3
2021/2/25,1.09,2,1,3,3,38.6,11,9.3,6.3,2
2021/2/26,0.98,2,1,3,3,40.7,12.1,9.54,6.2,3
